individual,fitness values
[2, 6, 1, 2, 3, 4, 4, 5, 3, 6, 7, 2, 4, 5, 5, 6, 1, 7, 2, 5, 4, 3, 1, 4, 6, 1, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 1],[23.866667,8.476091,89.671905,95.398181]
[7, 6, 6, 3, 2, 4, 6, 6, 2, 6, 7, 1, 5, 4, 6, 6, 3, 7, 4, 5, 3, 5, 1, 1, 7, 4, 3, 1, 7, 4, 6, 2, 2, 3, 6, 7, 7, 3, 4],[34.133333,9.518270,79.563034,94.030956]
[1, 6, 5, 3, 2, 4, 6, 6, 2, 6, 7, 1, 5, 4, 6, 6, 3, 7, 4, 5, 3, 4, 4, 2, 6, 3, 5, 6, 7, 5, 6, 5, 6, 5, 4, 6, 7, 1, 5],[29.383333,9.518270,97.125449,93.739470]
[1, 6, 5, 3, 2, 4, 6, 6, 2, 6, 7, 1, 5, 4, 6, 6, 3, 7, 4, 5, 3, 4, 4, 2, 7, 4, 2, 6, 7, 2, 6, 6, 2, 3, 1, 6, 7, 4, 5],[32.333333,9.440875,87.057545,94.155159]
[4, 6, 2, 3, 2, 4, 6, 6, 2, 6, 7, 1, 5, 4, 6, 6, 3, 7, 4, 3, 3, 5, 4, 4, 6, 5, 3, 2, 7, 5, 6, 3, 4, 1, 4, 7, 7, 4, 4],[27.633333,9.009916,97.831574,94.220330]
[1, 6, 1, 5, 4, 3, 5, 4, 6, 6, 7, 2, 2, 1, 4, 6, 1, 7, 2, 5, 4, 3, 1, 4, 6, 1, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 1],[28.450000,8.811702,80.527320,95.644529]
[1, 6, 2, 4, 5, 4, 1, 1, 5, 6, 7, 4, 1, 2, 3, 6, 4, 7, 6, 1, 1, 1, 1, 6, 6, 3, 2, 1, 7, 2, 6, 5, 2, 1, 2, 6, 7, 1, 1],[30.733333,8.705506,72.856020,96.278063]
[1, 6, 2, 4, 5, 4, 1, 1, 5, 6, 7, 4, 1, 2, 3, 6, 4, 7, 6, 5, 4, 3, 1, 4, 6, 1, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 1],[22.350000,8.593860,90.157657,95.296007]
[1, 7, 5, 3, 2, 4, 6, 6, 2, 6, 7, 1, 5, 4, 6, 6, 3, 7, 4, 5, 3, 4, 4, 2, 6, 3, 5, 6, 7, 5, 6, 5, 6, 5, 4, 6, 7, 1, 5],[30.383333,9.192081,97.125449,93.081575]
[1, 6, 1, 5, 4, 3, 5, 4, 2, 6, 7, 1, 5, 4, 2, 6, 3, 7, 6, 1, 1, 1, 1, 6, 6, 3, 2, 1, 7, 1, 6, 3, 1, 1, 3, 6, 7, 2, 3],[37.200000,8.705506,73.745040,96.266501]
[1, 6, 1, 5, 4, 3, 5, 4, 4, 6, 7, 4, 6, 4, 4, 6, 4, 7, 1, 2, 4, 1, 5, 2, 6, 3, 5, 6, 7, 5, 6, 4, 1, 2, 3, 6, 7, 3, 2],[27.650000,9.009916,91.204626,94.774098]
[2, 6, 1, 2, 3, 4, 4, 5, 3, 6, 7, 2, 4, 5, 5, 6, 1, 7, 2, 5, 4, 3, 1, 4, 6, 1, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 5],[23.866667,8.476091,94.500219,95.064847]
[1, 6, 1, 3, 2, 4, 6, 6, 2, 6, 7, 2, 2, 1, 4, 6, 4, 7, 6, 1, 2, 4, 6, 1, 6, 1, 1, 5, 7, 3, 6, 1, 1, 5, 4, 6, 7, 3, 2],[39.183333,9.102821,74.580538,95.804167]
[4, 6, 2, 5, 2, 5, 4, 5, 4, 6, 7, 2, 4, 5, 5, 6, 1, 7, 2, 5, 4, 3, 1, 4, 6, 1, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 5],[21.066667,8.476091,101.395552,94.593291]
[4, 6, 2, 5, 2, 5, 4, 5, 1, 7, 7, 6, 6, 2, 4, 6, 4, 7, 1, 2, 4, 1, 5, 2, 6, 3, 5, 6, 7, 5, 6, 5, 3, 6, 4, 6, 7, 5, 3],[23.866667,9.360856,91.218116,94.139814]
[4, 6, 2, 5, 3, 4, 4, 5, 3, 6, 7, 6, 6, 2, 4, 6, 5, 7, 5, 3, 3, 5, 4, 4, 6, 5, 1, 5, 7, 4, 6, 5, 1, 3, 5, 6, 7, 2, 3],[21.716667,8.913012,106.399576,93.773477]
[7, 6, 6, 3, 2, 4, 6, 6, 2, 6, 7, 1, 2, 4, 6, 6, 3, 7, 4, 5, 3, 5, 1, 1, 7, 4, 3, 1, 7, 4, 6, 2, 2, 3, 6, 7, 7, 1, 3],[35.950000,9.518270,74.670182,94.391048]
[2, 6, 1, 2, 3, 4, 4, 5, 3, 6, 7, 6, 6, 2, 4, 6, 5, 7, 5, 3, 3, 5, 4, 4, 6, 5, 1, 5, 7, 4, 6, 5, 1, 3, 5, 6, 7, 3, 4],[25.300000,8.913012,102.082088,94.003359]
[1, 6, 5, 3, 2, 4, 6, 6, 2, 6, 7, 1, 5, 4, 6, 6, 3, 7, 4, 5, 3, 5, 1, 6, 7, 2, 3, 1, 7, 4, 6, 1, 1, 1, 2, 6, 7, 6, 4],[42.166667,9.192081,80.316519,94.795232]
