-2	1	2	3	4	5	6	7	8
1	0.0863309352517986	0	0	0.41726618705036	0.0431654676258993	0.107913669064748	0.294964028776978	0.0503597122302158
2	0	0.0613496932515335	0.0613496932515335	0.460122699386503	0.0613496932515337	0.122699386503067	0.177914110429448	0.0552147239263804
3	0	0.0613496932515335	0.0613496932515335	0.460122699386503	0.0613496932515337	0.122699386503067	0.177914110429448	0.0552147239263804
4	0	0	0	0.674641148325359	0.138755980861244	0.0382775119617225	0.105263157894737	0.0430622009569378
5	0	0	0	0.153846153846154	0.730769230769231	0	0.115384615384615	0
6	0	0	0	0.0718562874251497	0.00449101796407186	0.769461077844311	0.139221556886228	0.0149700598802395
7	0	0	0	0.134057971014493	0.00543478260869565	0.117753623188406	0.610507246376812	0.132246376811594
8	0	0	0	0.0099009900990099	0.0198019801980198	0.0099009900990099	0.0693069306930693	0.891089108910891



